"TaskType","Confidence","TreatmentType","ConversationId","ResponseId","Response"
1,"Default",1,6,"3D8YOU6S9FGGN7BQ05HIEPK8E1K6US","Hey I'm not judging. Keep doing you."
1,"Default",1,7,"3D8YOU6S9FGGN7BQ05HIEPK8E1K6US","I'm so sorry, this is a terrible situation for everyone."
1,"Default",1,8,"3D8YOU6S9FGGN7BQ05HIEPK8E1K6US","Just tell me that you're upset instead of acting like this."
1,"Default",1,9,"3D8YOU6S9FGGN7BQ05HIEPK8E1K6US","What do you need?"
1,"Default",1,10,"3D8YOU6S9FGGN7BQ05HIEPK8E1K6US","that's the worst! i'm sorry"
1,"Default",0,11,"3D8YOU6S9FGGN7BQ05HIEPK8E1K6US","Luckily you own a microwave."
1,"Default",0,12,"3D8YOU6S9FGGN7BQ05HIEPK8E1K6US","Yes I'm sorry that I keep bailing. I'm having a hard time."
1,"Default",0,13,"3D8YOU6S9FGGN7BQ05HIEPK8E1K6US","Well what do you want to do?"
1,"Default",0,14,"3D8YOU6S9FGGN7BQ05HIEPK8E1K6US","Thanks, call you then."
1,"Default",0,15,"3D8YOU6S9FGGN7BQ05HIEPK8E1K6US","Good idea. Hope you can find it."
1,"HighOnly",2,1,"3SB5N7Y3O4024EOGEBCK199QSQI0GK","Oh wow. What's going on?"
1,"HighOnly",2,2,"3SB5N7Y3O4024EOGEBCK199QSQI0GK","I'm sorry Mom. Won't happen again. Love you."
1,"HighOnly",2,3,"3SB5N7Y3O4024EOGEBCK199QSQI0GK","Hang in there. You'll be alright."
1,"HighOnly",2,4,"3SB5N7Y3O4024EOGEBCK199QSQI0GK","Sorry man. It wasn't me."
1,"HighOnly",2,5,"3SB5N7Y3O4024EOGEBCK199QSQI0GK","Hang in there. I'm here if you need me."
1,"HighOnly",0,6,"3SB5N7Y3O4024EOGEBCK199QSQI0GK","Haha, it's all good man. Just messing with ya."
1,"HighOnly",0,7,"3SB5N7Y3O4024EOGEBCK199QSQI0GK","Oh wow. I'm sorry to hear that. I'm here if you need me."
